bestObjID,class,z,dered_u,dered_g,dered_r,dered_i,dered_z,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z
1237661971729285692,QSO,3.623093,25.74514,21.45667,20.53285,20.33857,20.85388,0.7158288,0.05566488,0.03238519,0.03861782,0.240161
1237661873482170417,STAR,-0.0005771137,18.95272,18.01837,17.71411,17.59482,17.57892,0.01929877,0.006092701,0.006120909,0.006942905,0.01368962
1237665178452492752,GALAXY,0.518922,22.71452,21.50541,20.48979,19.63358,19.18865,0.7114902,0.1112301,0.06518681,0.04827346,0.1179416
1237657775536406540,QSO,1.449773,18.43551,18.14721,17.79041,17.62769,17.59892,0.01605539,0.00676215,0.006680489,0.007347344,0.01650274
1237661852003533515,STAR,-4.01162e-05,24.80062,21.64939,20.3303,19.54559,19.02627,0.8893938,0.06515863,0.02763236,0.02031725,0.04182282
1237650805884650174,GALAXY,0.4632644,26.07303,22.52216,20.65608,19.85595,19.48568,0.6974832,0.25167,0.07218084,0.05271603,0.1351753
1237661951339462710,STAR,-0.0001891358,17.17511,16.24387,15.99175,15.89529,15.8883,0.008939178,0.00404777,0.004325606,0.004138625,0.006278293
1237651539244875891,GALAXY,0.1209068,20.13629,18.36338,17.49476,17.14552,16.85636,0.06646954,0.008225499,0.00632933,0.006421447,0.0168169
1237662264326816249,STAR,-0.0001032426,20.94876,18.5111,17.14206,16.23038,15.73611,0.07667913,0.007998141,0.006030291,0.005639383,0.006371799
1237651191887168234,STAR,-0.0001150083,23.11027,22.49576,21.12163,20.01556,19.63434,0.5781693,0.1874241,0.07044804,0.03880716,0.1054993
1237660670355898512,GALAXY,0.1442139,19.50039,18.30091,17.43587,17.02382,16.83523,0.04628447,0.008395162,0.006654651,0.006650237,0.0181754
1237657773931364470,STAR,0.0002183981,17.7887,16.551,16.15185,16.01807,15.9815,0.01073082,0.004230414,0.00414167,0.004342579,0.00669855
1237680310162161860,QSO,1.805628,21.25164,21.43782,21.5248,21.17092,21.36425,0.1606885,0.05822672,0.09050188,0.09262217,0.3767415
1237657190909083840,STAR,-9.954964e-06,23.08783,20.67543,19.22349,17.83086,17.12389,0.430247,0.02668512,0.01260253,0.007765043,0.0122473
1237665532247998621,GALAXY,0.1671867,20.71268,18.99386,17.87132,17.39746,17.00426,0.1368393,0.0134039,0.008558488,0.008384836,0.02245292
1237660557062242690,STAR,-0.0002564719,17.3343,15.0535,14.28131,14.06606,14.00015,0.1684587,0.008327995,0.004664449,0.004563523,0.005055098
1237664869207114304,QSO,1.788644,20.11403,20.10921,20.18551,19.91809,20.00459,0.04201839,0.01918625,0.0247293,0.02601893,0.09398229
1237671261192914361,STAR,0.0004158894,25.0566,22.82412,21.02606,20.00155,19.58581,0.9902803,0.1889869,0.05769334,0.03507001,0.07801234
1237664091831206530,GALAXY,0.9035719,21.51837,21.58662,21.13503,20.50786,20.2291,0.2793564,0.1484526,0.148075,0.1203823,0.3494185
1237665584863839149,QSO,0.6736957,24.91929,21.68712,20.52776,19.55777,19.0368,2.073037,0.123782,0.06434997,0.04378309,0.1055497
1237679319091642690,GALAXY,0.561691,24.78051,22.34351,21.10955,20.02528,19.40357,0.7768098,0.1689228,0.0783544,0.04317593,0.08758283
1237678602385949347,GALAXY,0.5735268,22.4233,21.77614,20.58998,19.70706,19.32856,0.3776271,0.09142751,0.04665408,0.03583478,0.08427737
1237670965389230760,GALAXY,0.3905866,21.73981,20.76486,18.88308,18.22942,17.78634,0.3433908,0.05744115,0.01894835,0.01581195,0.04000239
1237668558588608780,STAR,-0.001752802,18.90772,18.08187,17.79622,17.66909,17.6067,0.02191017,0.006333985,0.006044182,0.00693732,0.01785073
