model,accuracy_mean,accuracy_lo,accuracy_hi,ECE_mean,ECE_lo,ECE_hi,ECE10_mean,ECE10_lo,ECE10_hi,ECE_quantile_mean,ECE_quantile_lo,ECE_quantile_hi,MCE_mean,MCE_lo,MCE_hi,Brier_mean,Brier_lo,Brier_hi,NLL_mean,NLL_lo,NLL_hi
LogReg,0.8104626046260464,0.8098994924503441,0.8110257168017486,0.07684000091867058,0.07636783778990147,0.07731216404743968,0.07684000091867056,0.07636783778990146,0.07731216404743967,0.07822241997760511,0.07773664230071044,0.07870819765449978,0.16113250107846233,0.15685614590391164,0.16540885625301302,0.3108541769173713,0.31032554158396114,0.3113828122507815,0.5527673756895845,0.5517087269712837,0.5538260244078852
RandomForest,0.9246877468774686,0.9243380692905969,0.9250374244643402,0.00505106555389195,0.004669705140590988,0.005432425967192912,0.005024840092970633,0.004631792213366108,0.005417887972575158,0.004942901816870162,0.004568924320849663,0.005316879312890661,0.04540812461983355,0.03345530213906703,0.057360947100600065,0.11330466787471176,0.11288891742031572,0.1137204183291078,0.21054951982802111,0.20986748063197463,0.2112315590240676
HistGB,0.9241022410224101,0.9238225439427267,0.9243819381020936,0.0025765262301148143,0.0023098244963333362,0.0028432279638962925,0.0021830939805425496,0.0018882757666227447,0.0024779121944623543,0.0026835483339282895,0.0023829065586941827,0.0029841901091623964,0.056145945266373065,0.042264768025220646,0.07002712250752549,0.11382332632666256,0.11347136304882088,0.11417528960450424,0.21101478408173396,0.21034580941448666,0.21168375874898127
MLP,0.9258687586875869,0.9254620779379444,0.9262754394372293,0.003635634358063698,0.003019236610376113,0.004252032105751283,0.0034429598820899716,0.002846206955865731,0.0040397128083142116,0.0034973002506262078,0.002976504501734828,0.004018095999517588,0.06229251325558023,0.04401625774214199,0.08056876876901847,0.11162971109071458,0.11113570615795687,0.11212371602347229,0.2067787474771204,0.2058961774450295,0.20766131750921132
