model,mag_bin,raw_promised_purity_mean,raw_promised_purity_lo,raw_promised_purity_hi,raw_achieved_purity_mean,raw_achieved_purity_lo,raw_achieved_purity_hi,raw_completeness_mean,raw_completeness_lo,raw_completeness_hi,rep_temperature_promised_purity_mean,rep_temperature_promised_purity_lo,rep_temperature_promised_purity_hi,rep_temperature_achieved_purity_mean,rep_temperature_achieved_purity_lo,rep_temperature_achieved_purity_hi,rep_temperature_completeness_mean,rep_temperature_completeness_lo,rep_temperature_completeness_hi,bright_temperature_promised_purity_mean,bright_temperature_promised_purity_lo,bright_temperature_promised_purity_hi,bright_temperature_achieved_purity_mean,bright_temperature_achieved_purity_lo,bright_temperature_achieved_purity_hi,bright_temperature_completeness_mean,bright_temperature_completeness_lo,bright_temperature_completeness_hi
LogReg,"[14,17)",0.9882844054821854,0.9756522979001119,1.000916513064259,0.0,0.0,0.0,0.0,0.0,0.0,0.9882682378087774,0.9755815931251282,1.0009548824924266,0.0,0.0,0.0,0.0,0.0,0.0,0.9715226145178186,0.9562431844498948,0.9868020445857425,0.0,0.0,0.0,0.0,0.0,0.0
LogReg,"[17,18)",0.9764979746644629,0.9664546880516097,0.986541261277316,0.15000000000000002,0.014615466155544488,0.28538453384445556,0.0009358022462564784,0.000248797344484692,0.001622807148028265,0.9766527762765495,0.9667637761827264,0.9865417763703725,0.15000000000000002,0.014615466155544488,0.28538453384445556,0.0009358022462564784,0.000248797344484692,0.001622807148028265,0.9477460932159,0.9399915686035639,0.955500617828236,0.05555555555555556,0.010064908412771634,0.10104620269833949,0.0009358022462564784,0.000248797344484692,0.001622807148028265
LogReg,"[18,19)",0.9284654470192679,0.9209367092332661,0.9359941848052697,0.06166666666666666,0.00755987540916786,0.11577345792416546,0.00015576104464092299,2.618655370139464e-05,0.00028533553558045136,0.927096240721587,0.9195907658740435,0.9346017155691305,0.06166666666666666,0.00755987540916786,0.11577345792416546,0.00015576104464092299,2.618655370139464e-05,0.00028533553558045136,0.9328956981210622,0.9316871238852336,0.9341042723568909,0.019853520139023983,0.009841884675683385,0.02986515560236458,0.00043321067810277706,0.00022302785034442182,0.0006433935058611323
LogReg,"[19,20)",0.9244589487252565,0.9236166047366567,0.9253012927138562,0.039399404563558074,0.027069868076640344,0.051728941050475805,0.00037949364977609047,0.0002543588061260779,0.0005046284934261031,0.9243883349119624,0.9235034947631822,0.9252731750607426,0.039960969757615025,0.02736187109184165,0.0525600684233884,0.00037949364977609047,0.0002543588061260779,0.0005046284934261031,0.9400044942581328,0.9391741664550217,0.9408348220612439,0.15007405934731044,0.1355206220138768,0.16462749668074408,0.005603789656072239,0.004878457777322256,0.006329121534822221
LogReg,"[20,22)",0.922923944399711,0.9227660258124226,0.9230818629869995,0.7733037932953554,0.7686351560948863,0.7779724304958244,0.08511006808668557,0.08375941083167722,0.08646072534169393,0.9229232513022068,0.9227375446406051,0.9231089579638084,0.7734618439172662,0.7687340698043992,0.7781896180301333,0.08533149893825934,0.08305218533074611,0.08761081254577256,0.9416681675824785,0.9412442976463804,0.9420920375185766,0.8401932734453716,0.8379771048316622,0.8424094420590811,0.45725353334861485,0.44956382471867895,0.46494324197855075
RandomForest,"[14,17)",0.9513529710231398,0.9493885635297532,0.9533173785165263,0.9962301587301587,0.9905945756847928,1.0018657417755246,0.22501086269622497,0.2019174113160279,0.24810431407642206,0.9531125190643255,0.9508649741285209,0.9553600640001301,0.9967179487179487,0.991866036366135,1.0015698610697625,0.2499980316246846,0.22772296607097298,0.2722730971783962,0.9582374083713401,0.9555482281718627,0.9609265885708175,0.9931080426356589,0.9862242206818849,0.9999918645894329,0.28213473334846106,0.2591253219246672,0.30514414477225493
RandomForest,"[17,18)",0.9687379174357412,0.967831809894397,0.9696440249770855,0.9863039979576396,0.983546272908047,0.9890617230072322,0.5683821834085254,0.5557275038613247,0.5810368629557261,0.9713003693709743,0.9703957404478216,0.972204998294127,0.9846518656780067,0.9813471137068214,0.987956617649192,0.5864309509265898,0.573879203564414,0.5989826982887656,0.9754810785170301,0.9746452275517735,0.9763169294822868,0.9826506992441271,0.9787485569259408,0.9865528415623134,0.6143535235972941,0.6010475989714477,0.6276594482231406
RandomForest,"[18,19)",0.9825628970439766,0.9822550029906523,0.9828707910973009,0.9916197582152776,0.9906807054107507,0.9925588110198045,0.7681947364152178,0.7638843890595426,0.7725050837708931,0.9843065985057502,0.9839885017728054,0.984624695238695,0.9906568782259025,0.9898130235269668,0.9915007329248383,0.7784510623743209,0.7743259529590715,0.7825761717895704,0.9867573865422218,0.9864101824071428,0.9871045906773007,0.9888964013057511,0.9878979861747443,0.9898948164367578,0.7957365699860685,0.7918782322455674,0.7995949077265695
RandomForest,"[19,20)",0.9846116004946476,0.9843740726259647,0.9848491283633305,0.9907960674003601,0.990156365980567,0.9914357688201532,0.7551070461504309,0.7514615292120349,0.7587525630888269,0.9862134562544045,0.9859676466716859,0.9864592658371231,0.9900790472789505,0.9894029858897332,0.9907551086681677,0.7642341567282258,0.7607972742461862,0.7676710392102655,0.9885878297798403,0.988392769167815,0.9887828903918655,0.9886322856484744,0.9878774108954635,0.9893871604014852,0.7778272723253145,0.7744475421377675,0.7812070025128615
RandomForest,"[20,22)",0.9634818063865014,0.9631816375699804,0.9637819752030223,0.963036659040332,0.9619327591158052,0.9641405589648587,0.518511024820841,0.5154404685180743,0.5215815811236076,0.9656115698753114,0.9653238029899542,0.9658993367606685,0.9589540072041567,0.9577202274326527,0.9601877869756607,0.5436123428902447,0.5407261879351984,0.546498497845291,0.9692070345249245,0.9689248185292089,0.9694892505206402,0.952773175670071,0.9515057015776729,0.9540406497624692,0.5839596785682919,0.5808302110147386,0.5870891461218452
HistGB,"[14,17)",0.9586876713322864,0.9563875168401591,0.9609878258244137,0.9402261139668495,0.923867068338087,0.9565851595956121,0.3654168663961779,0.34222177237838064,0.3886119604139751,0.9592188494634429,0.9571317418003694,0.9613059571265165,0.9402475951534054,0.9239139346342616,0.9565812556725491,0.3653499675885752,0.3433775334934528,0.3873224016836976,0.9620037294255784,0.9597795086617603,0.9642279501893966,0.9389221975080642,0.921486941671118,0.9563574533450103,0.3725217994708367,0.34955660014838724,0.39548699879328614
HistGB,"[17,18)",0.9729548191132229,0.9715947227509294,0.9743149154755164,0.973228537800652,0.9683466961358901,0.9781103794654139,0.6443959529034406,0.6342019789772159,0.6545899268296654,0.9732307849521554,0.9719314345547103,0.9745301353496005,0.9730602528953491,0.9681230118228736,0.9779974939678246,0.6453419420553468,0.6346856033980779,0.6559982807126157,0.975098039509,0.973864081371119,0.976331997646881,0.9710161377736837,0.9660690670854403,0.9759632084619271,0.6520880858846645,0.6413674002631762,0.6628087715061528
HistGB,"[18,19)",0.9858996348753524,0.9854438202015803,0.9863554495491245,0.9872612373142566,0.9861125424390156,0.9884099321894977,0.8036525856977521,0.799588679071505,0.8077164923239992,0.9860349286633163,0.9856469469529205,0.9864229103737121,0.987273691245707,0.9860503851206496,0.9884969973707644,0.8045372726814289,0.800694481759442,0.8083800636034159,0.9869784156857438,0.9866184899766224,0.9873383413948653,0.9866094669287062,0.9855854909534206,0.9876334429039918,0.8102840905066555,0.8071324393833881,0.8134357416299229
