model,accuracy,ECE,ECE_quantile,MCE,Brier,NLL
LogReg,0.8087180871808718,0.0759955124346886,0.0772883521295999,0.15746637494469617,0.31213657300028824,0.5546751016995979
RandomForest,0.9247692476924769,0.007093204265375859,0.008906555732224007,0.03562926428277857,0.11373829627185161,0.24162384993034652
HistGB,0.923679236792368,0.003523146636354599,0.0034606315817787485,0.030873180926869304,0.114352534426263,0.21184831177064228
MLP,0.92449924499245,0.0031076948255632465,0.0036259357621640275,0.05889791298627617,0.11329514969140073,0.21031443179315637
